Crop_code,Common_name,Latin_name,Major use,Other uses,Crop_comments,DSSAT_code,APSIM_code,AgTrials_code,Photosynthetic pathway,Repro type,Daylength,Vernalization,Harvested part(s),When_harvested,N-fixation,Major planting,Other planting,DSSAT tree node,Default_executable,Default_module,Default_description,Executable_2,Module_2,Description_2,Executable_3,Module_3,Description_3,Executable_4,Module_4,Description_4,Executable_5,Module_5,Description_5,Wikipedia,,,
PCN,Pecan,Carya illinoinensis,Nut,,,,,,C3,Perennial,,,Seed,,N,,,Nut,,,,,,,,,,,,,,,,,,,
PEA,Pea,Pisum sativum,Pulse,,,PE,Pea,,C3,Annual,LD,Y,Seed,,Y,Seed,,Legumes,,,,,,,,,,,,,,,,,,,
PER,Pear,Pyrus spp.,Fruit,,,PA,Pear,,C3,Perennial,,,Fruit,,N,Transplant,,Fruit crops,,,,,,,,,,,,,,,,,,,
PGP,Pigeon pea,Cajanus cajan,Pulse,,,PP,Pigeonpea,Pigeonpea,C3,Annual,SD,,Seed,,Y,Seed,,Legumes,DSCSM046,CRGRO,CROPGRO-Pigeon pea,,,,,,,,,,,,,en.wikipedia.org/wiki/Pigeon_pea,,,
PLM,Plum,Prunus insititia,Fruit,,,,,,C3,Perennial,,,Fruit,,N,,,Fruit crops,,,,,,,,,,,,,,,,,,,
PMK,Pumpkin,Cucurbita spp.,Vegetable,,,,,,C3,Annual,,,Fruit,,N,Seed,,Vegetables,,,,,,,,,,,,,,,,,,,
PML,Pearl millet,Pennisetum glaucum,Cereal,,,ML,Millet,Pearl millet,C4,Annual,,,Seed,Stage,N,Seed,,Cereals,DSCSM046,MLCER,CERES-Millet,,,,,,,,,,,,,,,,
PNA,Pineapple,Ananas comosus,Fruit,,,PI,Pineapple,,CAM,Annual,,,Fruit,,N,Slips,,Fruit crops,DSCSM046,PIALO,ALOHA-Pineapple,,,,,,,,,,,,,en.wikipedia.org/wiki/Pineapple#Cultivation,,,
PNT,Peanut,Arachis hypogea,"Oil seed, Pulse",,Groundnut,PN,Peanut,,C3,Annual,DN,,Seed,,Y,Seed,,Legumes,DSCSM046,CRGRO,CROPGRO-Peanut,,,,,,,,,,,,,,,,
POP,Poplar,Populus spp.,Bioenergy,,,,,,C3,Perennial,,,Seed,,N,,,Sugar/Energy,,,,,,,,,,,,,,,,,,,
POT,Potato,Solanum tunerosum,Tuber crop,,,PT,Potato,Potato,C3,Annual,,,Tuber,Date,N,Tubers,,Root Crops,DSCSM046,SUBSTOR,SUBSTOR-Potato,,,,,,,,,,,,,,,,
